input,output,instruction
What be the learning result of the program at FAST NU?, 1. Possess advanced knowledge of Computer Science. 2. Apply critical and creative thinking to solve complex problems. 3. Develop efficient solutions using computing knowledge. 4. Design and conduct research-related activities. 5. Effectively present technical topics orally and in writing.,
Be Doctor of Philosophy (Maths) pop the question in Islamabad?,No,
Can I study AI in Karachi?,"Yes, the Bachelor of Science in Artificial Intelligence program is offered in Karachi.",
"What are the requirements for completing the degree at FAST NU?
","To earn an MS degree, students must complete at least 30 credit hours, including core courses. They must also achieve a CGPA of 2.50 or higher. Additionally, students must complete their capstone project with satisfactory performance.",
What are the prerequisite for hit the Rector ' s List of Honours at fasting NU?, The name of an undergraduate student is placed on the Rector's List if his/her SGPA is 4.00 in a semester. The student receives a Certificate and his/her name is also placed on the University's website. Only those students are included in this list who have completed the semester with regular course load prescribed in the study plan.,
"What are the eligibility and selection criteria for the Bachelor of Science program in Artificial Intelligence at FAST NU?
"," Applicants must have at least 60% marks in SSC (Matric) or an equivalent examination, and at least 50% marks in HSSC or an equivalent examination, with Mathematics passed at the HSSC level. Students awaiting HSSC results can also apply. Pre-medical students who have passed additional math or are awaiting results are eligible for all computing programs.",
Is Bachelor of Science (Electrical Engineering) offered in Chiniot-Faisalabad?,Yes,
Which financial institutions provide loans for students?,"Students can get loans from PICIC Commercial Bank, NIB Bank, Bank Alfalah, Bank Islami, and MCB.",
What is the address for the Peshawar campus?,"160, Industrial Estate, Jamrud Road",
What bank pop the question loanword to students?,"PICIC Commercial Bank, NIB Bank, Bank Alfalah, Bank Islami, and MCB offer loans to students.",
Be Victor of Science (Cyber Security measure) offer in Islamabad?,Yes,
"What are the selection criteria for admissions at FAST NU?
"," Academic Record (Bachelor) 50%, Admission Test/NTS-GAT (General) 50%. Applicants may need to take up to four deficiency courses, determined by the Graduate Studies Committee before admission, at no cost. Mathematical Foundations of Al may be taken concurrently with deficiency courses.",
What is the extension for Accounts in Islamabad?,ext: 226,
Is Master of Science (Software Project Management) offered in Islamabad?,No,
"What is the medium of instruction at FAST NU?
"," The medium of instruction and examinations for all courses is English (except language courses where it may be different). However, students may opt to answer the 'Religious and Islamic Studies' examination in either English or Urdu.",
Who provides fiscal assistance for students ineffective to pay their full fee?,The Old Students Association of FAST (OSAF) provides financial assistance for such students.,
Is Bachelor of Skill (Electrical Engine room) offered in Program Type?,No,
Is Bachelor of Science (Artificial Intelligence) provide in Karachi?,Yes,
Is Doctor of Philosophy (Mathematics) offered in Program Type?,No,
Be Master of Science (Software Undertaking Management) offer in Islamabad?,No,
Is Master of Science (Civil Engineering) offered in Lahore?,Yes,
What be the application deadline for prospective students apply to FAST NU?,"Applications are accepted on a rolling basis, with specific deadlines for each admission cycle. Prospective students are encouraged to apply early to ensure consideration for their desired term of entry. Deadlines are typically set several months before the start of the academic term.",
What is the email for admissions for the Peshawar campus?,admissions.pwr@nu.edu.pk,
Is Bachelor of Science (Artificial Intelligence) offered in Chiniot-Faisalabad?,Yes,
Is Doctor of Philosophical system (Civil Engineering) offered in Lahore?,Yes,
